claim,description,date,rating,url
Vea con quien anda el gran hpta que atentó contra Miguel Uribe Turbay,Se trata de un exintegrante de una ‘primera línea’ que fue asesinado en 2024 por la misma disidencia armada de las antiguas FARC que lo había reclutado.,10/06/2025,Falso,https://colombiacheck.com/chequeos/este-joven-en-fotos-con-figuras-del-petrismo-no-fue-el-sicario-que-atento-contra-miguel
Antonella Petro se va del país porque se cansó de tener un papá guerrillero,No hay evidencia de que la hija menor del mandatario haya hecho las declaraciones que le atribuyen tras su salida del país.,24/09/2024,Falso,https://colombiacheck.com/chequeos/portada-de-revista-con-supuestos-insultos-de-antonella-petro-su-papa-el-presidente-es-un
Dante Gebel destacó logros de Gustavo Petro en una de sus prédicas,La publicación viral usa imágenes de un sermón religioso para atribuirle al famoso pastor un discurso político manipulado con inteligencia artificial.,31/10/2025,Falso,https://colombiacheck.com/chequeos/montaje-con-ia-utiliza-video-viejo-del-predicador-dante-gebel-para-hacer-propaganda-petro
“Voy a proponerle al presidente TRUMP que libere a Nicolás Maduro”: Petro,No hay evidencia de que el presidente de Colombia haya anunciado plantearle a Trump la idea de sacar de la cárcel al depuesto gobernante de Venezuela.,26/01/2026,Falso,https://colombiacheck.com/chequeos/falsa-propuesta-atribuida-petro-sobre-liberar-maduro-circula-con-una-suplantacion-cali-es
Iván Mordisco colaborará con la Fiscalía sobre financiación campaña Petro,No hay evidencias de que el jefe del Estado Mayor Central de las disidencias haya hecho ese anuncio. Su última aparición pública fue en un video del 18 de noviembre y no se refiere al tema de la financiación.,03/12/2025,Falso,https://colombiacheck.com/chequeos/ivan-mordisco-no-anuncio-que-colaborara-con-la-fiscalia-para-entregar-pruebas-sobre
Comandante del ELN es la mamá de Juliana Guerrero,La madre de la joven es Yahaira Jiménez mientras el verdadero nombre de la guerrillera ‘Silvana Guerrero’ es Luz Amanda Pallares.,29/04/2026,Falso,https://colombiacheck.com/chequeos/falsa-relacion-madre-hija-entre-juliana-guerrero-y-jefa-del-eln-se-basa-en-su-alias
Semana publicó encuesta que muestra 40% de intención de reelegir a Petro,Se trata de una suplantación que no ha sido publicada por la revista sumándose al patrón recurrente de desinformación de una página petrista.,15/09/2025,Falso,https://colombiacheck.com/chequeos/narrativa-reeleccionista-se-impulsa-con-el-montaje-de-una-portada-y-una-encuesta
"En un trino viejo Uribe llamó a Abelardo De La Espriella, ""ladroncito""",En la publicación del 2012 el expresidente se refería al excongresista Miguel Alfonso De La Espriella condenado por parapolítica.,10/11/2025,Falso,https://colombiacheck.com/chequeos/alvaro-uribe-no-le-dijo-ladroncito-abelardo-de-la-espriella-en-un-trino-viejo
Discursos de Trump y de Petro en la Asamblea General de la ONU,El presidente de Estados Unidos anfitrión de la Asamblea siempre habla de segundo y suele tener mucho más público que otros. El de Colombia fue uno de los últimos de la tarde de ese día.,01/10/2025,Verdadero pero...,https://colombiacheck.com/chequeos/contraste-de-audiencia-entre-discursos-de-petro-y-trump-en-la-onu-esta-fuera-de-contexto
Video muestra a médicos de la clínica Santa Fe burlándose de Miguel Uribe,Salvador Mattar y Édgard Castro mencionados en el video viral son de Barranquilla y la clínica bogotana desmintió el vínculo.,13/06/2025,Falso,https://colombiacheck.com/chequeos/estos-medicos-que-hablan-sobre-la-salud-de-miguel-uribe-no-son-de-la-fundacion-santa-fe
"Asistentes a evento de presidencia en Ubaté gritaron ""Fuera, Petro""",El metraje original fue grabado el pasado 20 de febrero en el evento “Juntos por la transformación del campo” donde no sonó la supuesta arenga.,27/02/2025,Falso,https://colombiacheck.com/chequeos/audio-de-fuera-petro-en-video-del-recibimiento-al-presidente-en-ubate-es-montado
Guerrillera y mujer que da indicaciones a sicario de M. Uribe son la misma,En redes las confunden y señalan sin pruebas. La única mujer vinculada al crimen hasta el momento es Katherine Martínez alias ‘Gabriela’.,18/06/2025,Falso,https://colombiacheck.com/chequeos/alias-tania-no-es-una-mujer-que-mueve-los-ojos-en-videos-del-atentado-contra-miguel-uribe
Audio del registrador nacional prueba fraude en las elecciones,La falsa grabación tiene entonación y pausas poco naturales. Detectores arrojaron altas probabilidades de que haya sido generado de manera sintética.,17/03/2026,Falso,https://colombiacheck.com/chequeos/audio-de-ia-simula-voz-del-registrador-penagos-en-supuesta-planeacion-de-fraude-con-efrain
"Asesinato de Miguel Uribe fue ajuste de cuentas, dice BBC",La desinformación suplanta al medio para mover el señalamiento sin pruebas de que el crimen fue un ‘ajuste de cuentas’ entre mafias de esmeralderos.,25/08/2025,Falso,https://colombiacheck.com/chequeos/imitacion-bbc-sigue-libreto-de-petro-y-eln-sobre-asesinato-de-uribe-turbay-para-atacar-su
Foto muestra multitud en evento reciente de De la Espriella,La imagen fue tomada en un evento de campaña del entonces candidato presidencial Federico “Fico” Gutierrez que se hizo en Barranquilla y al que asistió el abogado Abelardo de la Espriella.,16/02/2026,Cuestionable,https://colombiacheck.com/chequeos/foto-de-abelardo-de-la-espriella-en-evento-masivo-no-es-de-la-actual-campana-sino-de-2022
Cosas que hacía la juez Heredia mientras Uribe hacia su última declaración,El fragmento de la grabación fue descontextualizado para atacar una vez más a la funcionaria que sentenció al expresidente por fraude procesal y soborno a testigos.,05/08/2025,Falso,https://colombiacheck.com/chequeos/video-de-jueza-heredia-riendose-es-despues-de-la-audiencia-de-condena-uribe-no-mientras-el
Álvaro Uribe pagó a los magistrados del Tribunal para su absolución,No hay registro de la supuesta denuncia o del anuncio de investigación de la Fiscalía en ese u otros medios. La pieza es una imitación de las de la emisora en redes.,29/10/2025,Falso,https://colombiacheck.com/chequeos/imagen-que-suplanta-radio-nacional-senala-sin-pruebas-uribe-de-pagar-por-su-absolucion
